run_id,day,hydro_id,water_a,water_b,water_c,water_min_m3,water_max_m3,max_output_mw,all_finite,min_not_above_max,nonnegative_bounds,status
20260811_155000_stage_B_2C_30day_full_final,8,2,0.001,16.420000000000002,352.94999999999999,34584.709999999999,38427.459999999999,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,8,3,0.001,16.510000000000002,355.26999999999998,18366.459999999999,20407.18,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,8,4,0.001,16.539999999999999,355.56999999999999,18439.049999999999,20487.830000000002,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,9,1,0.001,16.41,352.86000000000001,35007.68,38897.419999999998,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,9,2,0.001,16.420000000000002,352.94999999999999,34816.290000000001,38684.769999999997,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,9,3,0.001,16.510000000000002,355.26999999999998,18472.169999999998,20524.630000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,9,4,0.001,16.539999999999999,355.56999999999999,18596.889999999999,20663.209999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,10,1,0.001,16.41,352.86000000000001,34947.629999999997,38830.699999999997,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,10,2,0.001,16.420000000000002,352.94999999999999,35033.019999999997,38925.580000000002,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,10,3,0.001,16.510000000000002,355.26999999999998,18274.84,20305.380000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,10,4,0.001,16.539999999999999,355.56999999999999,18375.529999999999,20417.259999999998,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,11,1,0.001,16.41,352.86000000000001,34465.309999999998,38294.790000000001,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,11,2,0.001,16.420000000000002,352.94999999999999,35064.82,38960.910000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,11,3,0.001,16.510000000000002,355.26999999999998,18887.869999999999,20986.52,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,11,4,0.001,16.539999999999999,355.56999999999999,18021.279999999999,20023.639999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,12,1,0.001,16.41,352.86000000000001,34572.199999999997,38413.550000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,12,2,0.001,16.420000000000002,352.94999999999999,35060.57,38956.190000000002,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,12,3,0.001,16.510000000000002,355.26999999999998,18417.25,20463.610000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,12,4,0.001,16.539999999999999,355.56999999999999,18124.790000000001,20138.650000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,13,1,0.001,16.41,352.86000000000001,34409.639999999999,38232.93,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,13,2,0.001,16.420000000000002,352.94999999999999,34805.839999999997,38673.150000000001,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,13,3,0.001,16.510000000000002,355.26999999999998,18849.119999999999,20943.470000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,13,4,0.001,16.539999999999999,355.56999999999999,18566.240000000002,20629.150000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,14,1,0.001,16.41,352.86000000000001,35023.93,38915.480000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,14,2,0.001,16.420000000000002,352.94999999999999,34507.480000000003,38341.639999999999,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,14,3,0.001,16.510000000000002,355.26999999999998,18049.599999999999,20055.110000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,14,4,0.001,16.539999999999999,355.56999999999999,18070.5,20078.330000000002,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,15,1,0.001,16.41,352.86000000000001,34974.580000000002,38860.639999999999,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,15,2,0.001,16.420000000000002,352.94999999999999,34446.559999999998,38273.959999999999,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,15,3,0.001,16.510000000000002,355.26999999999998,18130.82,20145.349999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,15,4,0.001,16.539999999999999,355.56999999999999,18834.439999999999,20927.150000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,16,1,0.001,16.41,352.86000000000001,34442.010000000002,38268.900000000001,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,16,2,0.001,16.420000000000002,352.94999999999999,34566.800000000003,38407.559999999998,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,16,3,0.001,16.510000000000002,355.26999999999998,18267.790000000001,20297.540000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,16,4,0.001,16.539999999999999,355.56999999999999,18641.279999999999,20712.529999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,17,1,0.001,16.41,352.86000000000001,34716.970000000001,38574.410000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,17,2,0.001,16.420000000000002,352.94999999999999,34602.239999999998,38446.93,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,17,3,0.001,16.510000000000002,355.26999999999998,18030.740000000002,20034.16,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,17,4,0.001,16.539999999999999,355.56999999999999,18310.279999999999,20344.759999999998,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,18,1,0.001,16.41,352.86000000000001,34871.510000000002,38746.120000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,18,2,0.001,16.420000000000002,352.94999999999999,35081.839999999997,38979.82,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,18,3,0.001,16.510000000000002,355.26999999999998,18009.099999999999,20010.110000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,18,4,0.001,16.539999999999999,355.56999999999999,18063.330000000002,20070.369999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,19,1,0.001,16.41,352.86000000000001,34738.940000000002,38598.82,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,19,2,0.001,16.420000000000002,352.94999999999999,34447.959999999999,38275.510000000002,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,19,3,0.001,16.510000000000002,355.26999999999998,18319.950000000001,20355.5,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,19,4,0.001,16.539999999999999,355.56999999999999,18267.07,20296.740000000002,150,true,true,true,PASS
