day,hydro_id,Wmin,W,Wmax,lower_margin,upper_margin,lower_violation,upper_violation,maximum_violation,status,physical_source,independent_daily_scope
5,4,18654.049999999999,20673.649291613194,20726.720000000001,2019.5992916131945,53.070708386807382,0,0,0,PASS,final_unscaled_PH,true
6,1,35020.419999999998,38863.436013027662,38911.580000000002,3843.0160130276636,48.143986972339917,0,0,0,PASS,final_unscaled_PH,true
6,2,34750.550000000003,38563.918877249234,38611.720000000001,3813.3688772492314,47.801122750766808,0,0,0,PASS,final_unscaled_PH,true
6,3,18669.759999999998,20701.219963638952,20744.18,2031.4599636389539,42.960036361047969,0,0,0,PASS,final_unscaled_PH,true
6,4,18789.32,20833.706309758312,20877.02,2044.3863097583126,43.313690241688164,0,0,0,PASS,final_unscaled_PH,true
7,1,34239.849999999999,37897.903527778311,38044.279999999999,3658.0535277783129,146.37647222168744,0,0,0,PASS,final_unscaled_PH,true
7,2,34773.230000000003,38488.142883753142,38636.919999999998,3714.9128837531389,148.77711624685617,0,0,0,PASS,final_unscaled_PH,true
7,3,18581.77,20538.314536487735,20646.41,1956.5445364877341,108.09546351226527,0,0,0,PASS,final_unscaled_PH,true
7,4,18561.459999999999,20515.979490593349,20623.84,1954.5194905933495,107.86050940665154,0,0,0,PASS,final_unscaled_PH,true
8,1,34220.120000000003,37965.209672805482,38022.349999999999,3745.0896728054795,57.140327194516431,0,0,0,PASS,final_unscaled_PH,true
8,2,34584.709999999999,38369.537919591938,38427.459999999999,3784.8279195919386,57.922080408061447,0,0,0,PASS,final_unscaled_PH,true
8,3,18366.459999999999,20355.298553271437,20407.18,1988.8385532714383,51.881446728562878,0,0,0,PASS,final_unscaled_PH,true
8,4,18439.049999999999,20435.7312966483,20487.830000000002,1996.6812966483012,52.098703351701261,0,0,0,PASS,final_unscaled_PH,true
9,1,35007.68,38781.295876470278,38897.419999999998,3773.6158764702777,116.12412352972024,0,0,0,PASS,final_unscaled_PH,true
9,2,34816.290000000001,38569.352996411435,38684.769999999997,3753.0629964114341,115.41700358856178,0,0,0,PASS,final_unscaled_PH,true
9,3,18472.169999999998,20437.501746671423,20524.630000000001,1965.3317466714252,87.128253328577557,0,0,0,PASS,final_unscaled_PH,true
9,4,18596.889999999999,20575.280505245333,20663.209999999999,1978.3905052453338,87.929494754665939,0,0,0,PASS,final_unscaled_PH,true
10,1,34947.629999999997,38759.710111628418,38830.699999999997,3812.0801116284201,70.989888371579582,0,0,0,PASS,final_unscaled_PH,true
10,2,35033.019999999997,38854.36695926082,38925.580000000002,3821.3469592608235,71.213040739181451,0,0,0,PASS,final_unscaled_PH,true
10,3,18274.84,20247.459685230209,20305.380000000001,1972.6196852302091,57.92031476979173,0,0,0,PASS,final_unscaled_PH,true
10,4,18375.529999999999,20358.938147366622,20417.259999999998,1983.4081473666229,58.321852633376693,0,0,0,PASS,final_unscaled_PH,true
11,1,34465.309999999998,38213.762514113369,38294.790000000001,3748.4525141133709,81.027485886632348,0,0,0,PASS,final_unscaled_PH,true
11,2,35064.82,38878.242068784923,38960.910000000003,3813.4220687849229,82.667931215080898,0,0,0,PASS,final_unscaled_PH,true
11,3,18887.869999999999,20916.943643813618,20986.52,2029.0736438136191,69.576356186382327,0,0,0,PASS,final_unscaled_PH,true
11,4,18021.279999999999,19958.355249202414,20023.639999999999,1937.0752492024149,65.28475079758573,0,0,0,PASS,final_unscaled_PH,true
12,1,34572.199999999997,38386.279850158113,38413.550000000003,3814.0798501581157,27.270149841890088,0,0,0,PASS,final_unscaled_PH,true
12,2,35060.57,38928.70606432543,38956.190000000002,3868.1360643254302,27.483935674572422,0,0,0,PASS,final_unscaled_PH,true
12,3,18417.25,20435.183900793498,20463.610000000001,2017.9339007934977,28.42609920650284,0,0,0,PASS,final_unscaled_PH,true
12,4,18124.790000000001,20110.625923716019,20138.650000000001,1985.8359237160184,28.02407628398214,0,0,0,PASS,final_unscaled_PH,true
13,1,34409.639999999999,38153.76180937975,38232.93,3744.1218093797506,79.168190620250243,0,0,0,PASS,final_unscaled_PH,true
13,2,34805.839999999997,38593.07928143446,38673.150000000001,3787.2392814344639,80.070718565541029,0,0,0,PASS,final_unscaled_PH,true
13,3,18849.119999999999,20873.74614519715,20943.470000000001,2024.6261451971513,69.723854802850838,0,0,0,PASS,final_unscaled_PH,true
13,4,18566.240000000002,20560.630079832168,20629.150000000001,1994.3900798321665,68.519920167833334,0,0,0,PASS,final_unscaled_PH,true
14,1,35023.93,38852.708135959889,38915.480000000003,3828.7781359598885,62.771864040114451,0,0,0,PASS,final_unscaled_PH,true
14,2,34507.480000000003,38279.761426920959,38341.639999999999,3772.2814269209557,61.878573079040507,0,0,0,PASS,final_unscaled_PH,true
14,3,18049.599999999999,20001.056180998559,20055.110000000001,1951.4561809985607,54.053819001441298,0,0,0,PASS,final_unscaled_PH,true
14,4,18070.5,20024.216160946602,20078.330000000002,1953.716160946602,54.113839053399715,0,0,0,PASS,final_unscaled_PH,true
15,1,34974.580000000002,38813.491461235411,38860.639999999999,3838.9114612354097,47.148538764588011,0,0,0,PASS,final_unscaled_PH,true
15,2,34446.559999999998,38227.463954200539,38273.959999999999,3780.9039542005412,46.496045799460262,0,0,0,PASS,final_unscaled_PH,true
15,3,18130.82,20102.542405849475,20145.349999999999,1971.7224058494758,42.807594150523073,0,0,0,PASS,final_unscaled_PH,true
15,4,18834.439999999999,20882.763872343869,20927.150000000001,2048.3238723438699,44.386127656132885,0,0,0,PASS,final_unscaled_PH,true
16,1,34442.010000000002,38084.134085599188,38268.900000000001,3642.1240855991855,184.76591440081393,0,0,0,PASS,final_unscaled_PH,true
16,2,34566.800000000003,38222.058258590507,38407.559999999998,3655.2582585905038,185.50174140949093,0,0,0,PASS,final_unscaled_PH,true
16,3,18267.790000000001,20179.134015297059,20297.540000000001,1911.3440152970579,118.40598470294208,0,0,0,PASS,final_unscaled_PH,true
16,4,18641.279999999999,20590.315318389541,20712.529999999999,1949.0353183895422,122.21468161045777,0,0,0,PASS,final_unscaled_PH,true
17,1,34716.970000000001,38441.975990160878,38574.410000000003,3725.0059901608765,132.43400983912579,0,0,0,PASS,final_unscaled_PH,true
17,2,34602.239999999998,38315.048255154659,38446.93,3712.8082551546613,131.88174484534102,0,0,0,PASS,final_unscaled_PH,true
17,3,18030.740000000002,19952.573347652364,20034.16,1921.8333476523621,81.586652347636118,0,0,0,PASS,final_unscaled_PH,true
17,4,18310.279999999999,20260.407796636249,20344.759999999998,1950.1277966362504,84.35220336374914,0,0,0,PASS,final_unscaled_PH,true
18,1,34871.510000000002,38719.721863730141,38746.120000000003,3848.2118637301392,26.398136269861425,0,0,0,PASS,final_unscaled_PH,true
18,2,35081.839999999997,38953.351113350996,38979.82,3871.5111133509999,26.468886649003252,0,0,0,PASS,final_unscaled_PH,true
18,3,18009.099999999999,19983.059952523407,20010.110000000001,1973.959952523408,27.050047476594045,0,0,0,PASS,final_unscaled_PH,true
18,4,18063.330000000002,20043.246841289627,20070.369999999999,1979.9168412896252,27.123158710372081,0,0,0,PASS,final_unscaled_PH,true
19,1,34738.940000000002,38570.966772346801,38598.82,3832.0267723467987,27.853227653198701,0,0,0,PASS,final_unscaled_PH,true
19,2,34447.959999999999,38247.769766720507,38275.510000000002,3799.8097667205075,27.740233279495442,0,0,0,PASS,final_unscaled_PH,true
19,3,18319.950000000001,20326.906357736472,20355.5,2006.9563577364715,28.593642263527727,0,0,0,PASS,final_unscaled_PH,true
19,4,18267.07,20268.182231939849,20296.740000000002,2001.1122319398492,28.557768060152739,0,0,0,PASS,final_unscaled_PH,true
20,1,34463.269999999997,38245.858782502182,38292.519999999997,3782.5887825021855,46.661217497814505,0,0,0,PASS,final_unscaled_PH,true
