iteration,objective_raw,objective_scaled,objective_scale_factor,QW1,QW2,QW3,QW4,QW5,QP1,QP2,QP3,QP4,QP5,QS1,QS2,ES1,ES2
11,50258605681.666512,10214.862625607986,4920145.04,1679.3269714988649,1029.3139134669145,1279.306861222201,949.23071416758285,1059.2921107297261,1411.4028505029205,1334.5037168541801,1179.0168924536408,1039.5555405714579,784.08288164728106,299.32670376931549,499.38807695653566,598.65340753863097,998.77615391307131
12,49486623105.821251,10057.960223428952,4920145.04,1679.3044213859444,1029.2874637690747,1279.2739772576099,949.19233518834733,1059.2556027163266,1409.246372945355,1319.744564714073,960.10950844622676,1037.1538041005936,785.27568236662842,299.30266882866022,499.31664828906509,598.60533765732043,998.63329657813017
13,48723118632.327034,9902.780961987055,4920145.04,1679.2833237404589,1029.2610811169397,1279.2399057616244,949.1503456582484,1059.215742357268,1406.3917268435152,1080.1198722823572,962.64264265802967,1033.9726195127532,784.8380591683449,299.27321640482972,499.22017107094155,598.54643280965945,998.44034214188309
14,48469284992.978813,9851.1902797440325,4920145.04,1679.2294520705113,1029.1996321456072,1279.1652136580333,949.0605972889864,1059.1328725377357,1367.2245497853792,1080.8130713191579,960.00132132132899,996.93925743506645,784.49008880787562,299.23534500733626,499.07386513425183,598.47069001467253,998.14773026850366
15,47459752628.174515,9646.0068234440732,4920145.04,1679.1863567712899,1029.1424541913764,1279.0836939247063,948.95910655392811,1059.0349488813272,1136.1156122748928,1081.0923546398124,960.43568867455565,908.83486172264634,784.49539192624559,299.16432162095583,498.73526087856885,598.32864324191166,997.4705217571377
16,47236295566.2397,9600.5900602962101,4920145.04,1679.1462615838104,1029.0950123104176,1279.017135215068,948.87992875939835,1058.9580039422694,1138.1774412581635,1080.917725121873,960.46031240616173,840.03441743086137,784.47590379369205,299.12292655827702,498.46643426138019,598.24585311655403,996.93286852276037
17,47197841669.498314,9592.7744580266099,4920145.04,1679.044432718485,1028.9713060285239,1278.8394957070323,948.65398535323618,1058.744984763646,1136.0010887206292,1080.4931788608937,960.32152058213865,840.15093747769549,784.3786993992577,299.06658264694534,493.44872046468788,598.13316529389067,986.89744092937576
18,46678825320.855537,9487.2864400061535,4920145.04,1678.7727846236291,1028.6158336401131,1278.2856315401723,947.9192677637858,1058.0554270767386,1136.277294093954,1080.0002465894304,960.11390529920311,840.02927616788088,784.18021194861399,298.93384765708589,395.21322103553842,597.86769531417178,790.42644207107674
19,46315506057.454262,9413.4432381396346,4920145.04,1678.468039306209,1028.1922424712257,1277.5553936201859,946.90261129760108,1057.0981449924132,1136.0001386470472,1080.1143251859489,960.10601608024126,840.22229528035177,784.12722811651793,298.80458659155147,327.65407841779557,597.60917318310294,655.30815683559103
20,45642883983.683899,9276.7354646284766,4920145.04,1678.7987993130498,1028.2609733513723,1276.7851525311467,938.92635423582942,981.71770099080027,1136.062600035518,1080.1322220259372,960.12275628446139,840.21176077297673,784.12688851974531,298.59849517902393,276.77113827329941,597.19699035804786,553.54227654659871
21,45568126734.660439,9261.541349736397,4920145.04,1678.9101790120631,1028.2720742113879,1245.6291407517481,949.99446317711784,992.87964491264734,1136.0622097434082,1080.1244017687022,960.11588437674948,840.19363453097606,784.1196645646653,298.31255251431872,270.28501038386975,596.62510502863745,540.57002076773938
