run_id,day,hour,PW_1,PW_2,PW_3,PW_4,PW_5,PP_1,PP_2,PP_3,PP_4,PP_5,PH_1,PH_2,PH_3,PH_4,PF_1,PF_2,PF_3,PF_4,Pch_1,Pch_2,Pdis_1,Pdis_2,SOC_1,SOC_2
20260831_073237_stage_B_3f3f96b3,96,19,227.31779075998691,37.34982637210036,91.037124394739322,104.95847439874561,18.444996932880034,155.87083930457351,170.31654402723748,117.56528697816177,79.367809476705233,100.83658197201751,280.54330973619989,280.42422493596104,130.3099932262007,130.62896242482162,607.37479343749624,607.37479343749624,342.71572659016175,342.71572659016175,97.989601738847824,120.45261797405574,59.340386441606,73.949028275650775,539.73348170507086,899.72921509087678
20260831_073237_stage_B_3f3f96b3,96,20,167.54112833863658,87.172579065346085,54.69817333413976,68.989804214827146,35.717005065487918,0,0,0,0,0,299.6090128667438,299.61294937265944,149.68686822659947,149.68389374849517,629.04541897915078,629.04541897915078,359.3327512957149,359.3327512957149,1.7868902737728769,1.9429868664801315,49.475377564325406,64.786744793264404,486.36904121332645,829.49263127819552
20260831_073237_stage_B_3f3f96b3,96,21,56.776237761480473,140.67034158189952,171.04861136655768,134.4644066842117,35.716968230779777,0,0,0,0,0,299.5865293223614,299.59026620666816,149.67177741471599,149.66913119331741,629.01777932826565,629.01777932826565,359.3175734663194,359.3175734663194,1.7027653403992768,1.8619599317908677,56.52072561710127,93.179024303925672,425.1007237784608,727.63614599022446
20260831_073237_stage_B_3f3f96b3,96,22,1.4664898608745696,61.445721795306575,121.17800494275956,31.029812593631856,113.00602858032693,0,0,0,0,0,299.56645881735722,299.57014044122207,149.66038979154743,149.65784291963018,628.98673821081763,628.98673821081763,359.30007291081631,359.30007291081631,1.6894339396757119,1.8754682984557316,53.554642051575328,96.855748200631666,367.11605648908585,621.70656945813289
20260831_073237_stage_B_3f3f96b3,96,23,31.602566430573305,85.107134867194915,100.72041539500509,84.166055478284449,27.245592763413608,0,0,0,0,0,299.56147410276395,299.56512979209549,149.65702233092219,149.65453113946339,628.9788857779505,628.9788857779505,359.29557609583236,359.29557609583236,1.6916773842209907,1.8781412428627249,51.736964657175285,98.004007922626414,311.15304984913456,514.50355444045772
20260831_073237_stage_B_3f3f96b3,96,24,31.597469054233354,16.174385647692006,229.85815675896757,28.177439804684678,106.65233714775063,0,0,0,0,0,299.58445534118249,299.58815684943528,149.66302161202412,149.66059397975235,629.01428683381675,629.01428683381675,359.3124934098505,359.3124934098505,1.7977028832422273,1.8892528699331133,11.493884700409739,14.583494369708669,299.99999944359735,499.99999939038798
20260831_073237_stage_B_3f3f96b3,97,1,211.77004886060939,131.49042142603696,215.19319551959612,52.101500202256481,108.4726218167531,0,0,0,0,0,285.54924811174618,285.53602570494775,137.06920604001166,137.24090434481514,613.07562000496557,613.07562000496557,347.57116399172872,347.57116399172872,36.318147392421693,41.679328608055286,139.05291648588485,243.22781949443097,178.1830915569048,267.25826236604775
20260831_073237_stage_B_3f3f96b3,97,2,221.3256474257519,164.48211033602175,263.91479749905142,227.66256423947013,166.34472081160374,0,0,0,0,0,284.85589967232892,284.8405244590615,136.03302407398374,136.24068101501106,612.78529990796972,612.78529990796972,347.21241462237089,347.21241462237089,40.19549603301143,47.324525418754462,122.38060840054182,169.44401445825923,78.380584208235305,121.57920806708313
20260831_073237_stage_B_3f3f96b3,97,3,580.98975402882536,207.42565785019781,333.80044639585481,333.09579000080453,259.24390044585169,0,0,0,0,0,207.38358429547105,206.52154001691301,65.75341417081475,69.441420030396301,597.93679160973386,597.93679160973386,334.79618776072385,334.79618776072385,150.98031217465802,205.85990297184023,62.835272335107291,84.883476835346002,144.44589590419724,212.53814648024394
20260831_073237_stage_B_3f3f96b3,97,4,509.51272117163876,255.63043429391681,278.27214172534946,266.50899239492776,180.47862127263642,0,0,0,0,0,178.40235574824229,177.16568331024106,56.308410487883606,59.532481923780956,595.10267317050159,595.10267317050159,332.72097219883591,332.72097219883591,98.236580595617156,126.80052175774296,100.10526464463156,137.4727046414371,121.63074661288411,173.91116646061596
20260831_073237_stage_B_3f3f96b3,97,5,451.24607196487932,372.12379947523385,458.9040489921901,345.36845672199087,268.39865488264979,0,0,0,0,0,63.318981969718592,62.899202645362109,32.275323710237217,33.514558580213688,582.50072128188901,582.50072128188901,322.24323331936267,322.24323331936267,119.46884798355126,166.01159684248165,106.80230239231933,151.14113428873461,110.48348491772549,155.38700996469993
20260831_073237_stage_B_3f3f96b3,97,6,907.10596104997285,522.30090414618815,499.49181462157406,439.3877748908991,473.03917679754886,0,0,0,0,0,28.446780048688655,28.373245144851523,18.958940471428047,19.35905385694814,454.58538692933604,454.58538692933604,236.94419629437732,236.94419629437732,206.38931659651502,347.05780515670273,79.223427156180321,124.70087712151168,208.20783968105533,329.18250447071938
20260831_073237_stage_B_3f3f96b3,97,7,875.4106592684609,504.44128743298711,707.14619154821492,491.30013474058171,546.7272392141972,0,0,0,0,0,27.946337338027483,27.875722683618211,18.695828588745638,19.083906283919674,433.57158018171469,433.57158018171469,226.74003169607349,226.74003169607349,185.65423790723435,312.59742245356625,100.55572941305999,158.44540009341245,263.56806556083296,434.46974013069325
20260831_073237_stage_B_3f3f96b3,97,8,958.48338377593166,534.86514663555079,535.40058153835207,422.07818718021014,463.68008584251123,99.227896117345523,51.369220914958291,53.779384874233138,47.136083615195666,81.638396955809355,28.239749131891774,28.16743027649132,18.847613863192205,19.242361221567119,445.63201818004416,445.63201818004416,232.34511086332893,232.34511086332893,168.70510589308108,277.07133918199702,117.41467432663212,190.25199071845944,284.94191161279247,472.44284459620218
20260831_073237_stage_B_3f3f96b3,97,9,878.68597461997297,588.32533701749628,594.91853257528066,456.56172375323274,577.51711653039229,140.84206263865184,129.41733503086775,55.107787491712251,106.31100406735025,66.77894526635346,27.860445465549958,27.791189234142585,18.600185163403061,18.981498079519476,418.02505709281604,418.02505709281604,219.44457962736024,219.44457962736024,175.97994484655948,301.49338536972635,112.14726235812833,172.68765748388043,318.71579268788662,551.91171644686665
20260831_073237_stage_B_3f3f96b3,97,10,743.5804886546772,397.17154992878631,523.01211159486127,390.29875654924217,409.35050866861479,272.01387519190916,254.74149726834716,212.24013308483163,296.89725809065339,285.75659610249812,28.223527595744653,28.152539782156456,18.774543357105109,19.162520540834247,432.016717545299,432.016717545299,225.48659636959815,225.48659636959815,177.24964551809947,304.6330336148315,109.90507978122568,167.59506511164975,356.12371834170312,639.86470768727077
