run_id,day,wind_mwh,solar_mwh,hydro_mwh,thermal_mwh,storage_charge_mwh,storage_discharge_mwh,net_storage_supply_mwh,total_generation_mwh
20260831_073237_stage_B_3f3f96b3,203,22496.716330967596,11048.743561447212,13486.171328050088,38775.825725163377,7881.3523454119359,6383.8953997836625,-1497.4569456282734,85807.456945628277
20260831_073237_stage_B_3f3f96b3,204,11961.910399239256,25420.257447229724,13646.065061338752,40108.997823373633,6932.7933220072136,5615.5625908258435,-1317.2307311813702,91137.230731181364
20260831_073237_stage_B_3f3f96b3,205,10447.008599553274,26944.398364125169,13649.142427334569,39915.281145527391,7083.3186133705085,5737.4880768301127,-1345.8305365403958,90955.830536540394
20260831_073237_stage_B_3f3f96b3,206,11606.965119691858,25359.365189536387,13642.891878497245,39782.440168405737,7166.6439796379746,5804.9816235067547,-1361.6623561312199,90391.66235613123
20260831_073237_stage_B_3f3f96b3,207,19176.695088386714,24383.618677783867,13628.410991893748,40056.125822246882,7183.4241069010486,5818.573526589852,-1364.8505803111966,97244.850580311206
20260831_073237_stage_B_3f3f96b3,208,23294.592361788207,20680.142215493004,13553.60934003406,39687.25974540288,8292.6508564111664,6717.0471936930444,-1575.603662718122,97215.603662718146
20260831_073237_stage_B_3f3f96b3,209,20331.447262024369,25890.734659407477,13545.253279866729,40174.629314542595,6800.33955705894,5508.2750412177438,-1292.0645158411962,99942.064515841164
20260831_073237_stage_B_3f3f96b3,210,21072.603025867262,26290.110052230808,13613.6513705617,40163.443122504497,7209.5135324436797,5839.705961279381,-1369.8075711642987,101139.80757116426
20260831_073237_stage_B_3f3f96b3,211,28593.449869389988,25953.884066717146,13621.15911581806,40057.074714155911,7976.6724530586171,6461.10468697748,-1515.5677660811371,108225.56776608111
20260831_073237_stage_B_3f3f96b3,212,25257.455377550537,20965.484225644632,13603.17761777976,39542.048065806812,7200.8699304302118,5832.7046436484698,-1368.165286781742,99368.165286781732
20260831_073237_stage_B_3f3f96b3,213,10149.165890121008,12239.650361205646,13396.522056128482,38039.621405532271,9026.1037525652755,7311.1440395778727,-1714.9597129874028,73824.959712987416
